Localidade,Dispositivo,Total_2022,Zonaurbana_2022,Zonarural_2022,Total_2023,Zonaurbana_2023,Zonarural_2023
Brasil e Região,Existência de microcomputador ou tablet no domicílio,Total_2022,Urbana_2022,Rural_2022,Total_2023,Urbana_2023,Rural_2023
Brasil,Total,75323,65831,9493,78322,68852,9470
Brasil,Havia microcomputador ou tablet,31887,30494,1392,32118,30810,1308
Brasil,Havia microcomputador,30271,29031,1240,30561,29397,1164
Brasil,Havia tablet,8090,7795,295,8118,7850,268
Brasil,Havia microcomputador e tablet,6475,6332,143,6560,6436,124
Brasil,Não havia microcomputador nem tablet,43437,35336,8100,46204,38042,8162
Norte,Total,5739,4592,1148,6024,4873,1151
Norte,Havia microcomputador ou tablet,1716,1627,89,1766,1675,92
Norte,Havia microcomputador,1606,1528,78,1672,1589,83
Norte,Havia tablet,381,363,17,411,393,18
Norte,Havia microcomputador e tablet,271,265,6,316,307,9
Norte,Não havia microcomputador nem tablet,4024,2965,1059,4258,3198,1059
Nordeste,Total,19632,15164,4468,20691,16082,4609
Nordeste,Havia microcomputador ou tablet,5481,5100,381,5448,5074,374
Nordeste,Havia microcomputador,4989,4684,305,4961,4657,304
Nordeste,Havia tablet,1447,1337,110,1438,1339,99
Nordeste,Havia microcomputador e tablet,955,920,35,952,922,29
Nordeste,Não havia microcomputador nem tablet,14151,10064,4087,15244,11009,4235
Sudeste,Total,32761,30793,1968,33792,31897,1895
Sudeste,Havia microcomputador ou tablet,16368,15979,389,16547,16196,351
Sudeste,Havia microcomputador,15664,15310,353,15871,15552,319
Sudeste,Havia tablet,4358,4270,88,4321,4255,67
Sudeste,Havia microcomputador e tablet,3653,3601,52,3646,3611,35
Sudeste,Não havia microcomputador nem tablet,16392,14814,1579,17246,15701,1544
Sul,Total,11271,9836,1435,11584,10241,1343
Sul,Havia microcomputador ou tablet,5608,5176,432,5600,5210,390
Sul,Havia microcomputador,5404,4993,412,5408,5041,367
Sul,Havia tablet,1267,1210,58,1267,1204,63
Sul,Havia microcomputador e tablet,1064,1026,38,1075,1036,40
Sul,Não havia microcomputador nem tablet,5664,4660,1003,5984,5031,953
Centro-Oeste,Total,5920,5446,474,6230,5758,472
Centro-Oeste,Havia microcomputador ou tablet,2714,2612,101,2757,2656,102
Centro-Oeste,Havia microcomputador,2607,2516,92,2648,2557,92
Centro-Oeste,Havia tablet,637,616,22,680,659,21
Centro-Oeste,Havia microcomputador e tablet,531,519,12,571,560,11
Centro-Oeste,Não havia microcomputador nem tablet,3206,2833,373,3473,3103,370
